Node: 0, visit time: 1, predecessor : NULL
Node: 1, visit time: 1, predecessor : NULL
Node: 2, visit time: 1, predecessor : NULL
Node: 3, visit time: 1, predecessor : NULL
Node: 4, visit time: 1, predecessor : NULL
Node: 5, visit time: 1, predecessor : NULL
Node: 6, visit time: 1, predecessor : NULL
Node: 7, visit time: 1, predecessor : NULL
Node: 8, visit time: 1, predecessor : NULL
Node: 9, visit time: 1, predecessor : NULL
Node: 10, visit time: 1, predecessor : NULL
Node: 11, visit time: 1, predecessor : NULL
Node: 12, visit time: 1, predecessor : NULL
Node: 13, visit time: 1, predecessor : NULL
Node: 14, visit time: 1, predecessor : NULL
Node: 15, visit time: 1, predecessor : NULL
Node: 16, visit time: 1, predecessor : NULL
Node: 17, visit time: 1, predecessor : NULL
Node: 18, visit time: 1, predecessor : NULL
Node: 19, visit time: 1, predecessor : NULL
Node: 20, visit time: 1, predecessor : NULL
Node: 21, visit time: 1, predecessor : NULL
Node: 22, visit time: 1, predecessor : NULL
Node: 23, visit time: 1, predecessor : NULL
Node: 24, visit time: 1, predecessor : NULL
Node: 25, visit time: 1, predecessor : NULL
Node: 26, visit time: 1, predecessor : NULL
Node: 27, visit time: 1, predecessor : NULL
Node: 28, visit time: 1, predecessor : NULL
Node: 29, visit time: 1, predecessor : NULL
Node: 30, visit time: 1, predecessor : NULL
Node: 31, visit time: 1, predecessor : NULL
Node: 32, visit time: 1, predecessor : NULL
Node: 33, visit time: 1, predecessor : NULL
Node: 34, visit time: 1, predecessor : NULL
Node: 35, visit time: 1, predecessor : NULL
Node: 36, visit time: 1, predecessor : NULL
Node: 37, visit time: 1, predecessor : NULL
Node: 38, visit time: 1, predecessor : NULL
Node: 39, visit time: 1, predecessor : NULL
Node: 40, visit time: 1, predecessor : NULL
Node: 41, visit time: 1, predecessor : NULL
Node: 42, visit time: 1, predecessor : NULL
Node: 43, visit time: 1, predecessor : NULL
Node: 44, visit time: 1, predecessor : NULL
Node: 45, visit time: 1, predecessor : NULL
Node: 46, visit time: 1, predecessor : NULL
Node: 47, visit time: 1, predecessor : NULL
Node: 48, visit time: 1, predecessor : NULL
Node: 49, visit time: 1, predecessor : NULL
Node: 50, visit time: 1, predecessor : NULL
Node: 51, visit time: 1, predecessor : NULL
Node: 52, visit time: 1, predecessor : NULL
Node: 53, visit time: 1, predecessor : NULL
Node: 54, visit time: 1, predecessor : NULL
Node: 55, visit time: 1, predecessor : NULL
Node: 56, visit time: 1, predecessor : NULL
Node: 57, visit time: 1, predecessor : NULL
Node: 58, visit time: 1, predecessor : NULL
Node: 59, visit time: 1, predecessor : NULL
Node: 60, visit time: 1, predecessor : NULL
Node: 61, visit time: 1, predecessor : NULL
Node: 62, visit time: 1, predecessor : NULL
Node: 63, visit time: 1, predecessor : NULL
Node: 64, visit time: 1, predecessor : NULL
Node: 65, visit time: 1, predecessor : NULL
Node: 66, visit time: 1, predecessor : NULL
Node: 67, visit time: 1, predecessor : NULL
Node: 68, visit time: 1, predecessor : NULL
Node: 69, visit time: 1, predecessor : NULL
Node: 70, visit time: 1, predecessor : NULL
Node: 71, visit time: 1, predecessor : NULL
Node: 72, visit time: 1, predecessor : NULL
Node: 73, visit time: 1, predecessor : NULL
Node: 74, visit time: 1, predecessor : NULL
Node: 75, visit time: 1, predecessor : NULL
Node: 76, visit time: 1, predecessor : NULL
Node: 77, visit time: 1, predecessor : NULL
Node: 78, visit time: 1, predecessor : NULL
Node: 79, visit time: 1, predecessor : NULL
Node: 80, visit time: 1, predecessor : NULL
Node: 81, visit time: 1, predecessor : NULL
Node: 82, visit time: 1, predecessor : NULL
Node: 83, visit time: 1, predecessor : NULL
Node: 84, visit time: 1, predecessor : NULL
Node: 85, visit time: 1, predecessor : NULL
Node: 86, visit time: 1, predecessor : NULL
Node: 87, visit time: 1, predecessor : NULL
Node: 88, visit time: 1, predecessor : NULL
Node: 89, visit time: 1, predecessor : NULL
Node: 90, visit time: 1, predecessor : NULL
Node: 91, visit time: 1, predecessor : NULL
Node: 92, visit time: 1, predecessor : NULL
Node: 93, visit time: 1, predecessor : NULL
Node: 94, visit time: 1, predecessor : NULL
Node: 95, visit time: 1, predecessor : NULL
Node: 96, visit time: 1, predecessor : NULL
Node: 97, visit time: 1, predecessor : NULL
Node: 98, visit time: 1, predecessor : NULL
Node: 99, visit time: 1, predecessor : NULL
Node: 100, visit time: 1, predecessor : NULL
Node: 101, visit time: 1, predecessor : NULL
Node: 102, visit time: 1, predecessor : NULL
Node: 103, visit time: 1, predecessor : NULL
Node: 104, visit time: 1, predecessor : NULL
Node: 105, visit time: 1, predecessor : NULL
Node: 106, visit time: 1, predecessor : NULL
Node: 107, visit time: 1, predecessor : NULL
Node: 108, visit time: 1, predecessor : NULL
Node: 109, visit time: 1, predecessor : NULL
Node: 110, visit time: 1, predecessor : NULL
Node: 111, visit time: 1, predecessor : NULL
Node: 112, visit time: 1, predecessor : NULL
Node: 113, visit time: 1, predecessor : NULL
Node: 114, visit time: 1, predecessor : NULL
Node: 115, visit time: 1, predecessor : NULL
Node: 116, visit time: 1, predecessor : NULL
Node: 117, visit time: 1, predecessor : NULL
Node: 118, visit time: 1, predecessor : NULL
Node: 119, visit time: 1, predecessor : NULL
Node: 120, visit time: 1, predecessor : NULL
Node: 121, visit time: 1, predecessor : NULL
Node: 122, visit time: 1, predecessor : NULL
Node: 123, visit time: 1, predecessor : NULL
Node: 124, visit time: 1, predecessor : NULL
Node: 125, visit time: 1, predecessor : NULL
Node: 126, visit time: 1, predecessor : NULL
Node: 127, visit time: 1, predecessor : NULL
Node: 128, visit time: 1, predecessor : NULL
Node: 129, visit time: 1, predecessor : NULL
Node: 130, visit time: 1, predecessor : NULL
Node: 131, visit time: 1, predecessor : NULL
Node: 132, visit time: 1, predecessor : NULL
Node: 133, visit time: 1, predecessor : NULL
Node: 134, visit time: 1, predecessor : NULL
Node: 135, visit time: 1, predecessor : NULL
Node: 136, visit time: 1, predecessor : NULL
Node: 137, visit time: 1, predecessor : NULL
Node: 138, visit time: 1, predecessor : NULL
Node: 139, visit time: 1, predecessor : NULL
Node: 140, visit time: 1, predecessor : NULL
Node: 141, visit time: 1, predecessor : NULL
Node: 142, visit time: 1, predecessor : NULL
Node: 143, visit time: 1, predecessor : NULL
Node: 144, visit time: 1, predecessor : NULL
Node: 145, visit time: 1, predecessor : NULL
Node: 146, visit time: 1, predecessor : NULL
Node: 147, visit time: 1, predecessor : NULL
Node: 148, visit time: 1, predecessor : NULL
Node: 149, visit time: 1, predecessor : NULL
Node: 150, visit time: 1, predecessor : NULL
Node: 151, visit time: 1, predecessor : NULL
Node: 152, visit time: 1, predecessor : NULL
Node: 153, visit time: 1, predecessor : NULL
Node: 154, visit time: 1, predecessor : NULL
Node: 155, visit time: 1, predecessor : NULL
Node: 156, visit time: 1, predecessor : NULL
Node: 157, visit time: 1, predecessor : NULL
Node: 158, visit time: 1, predecessor : NULL
Node: 159, visit time: 1, predecessor : NULL
Node: 160, visit time: 1, predecessor : NULL
Node: 161, visit time: 1, predecessor : NULL
Node: 162, visit time: 1, predecessor : NULL
Node: 163, visit time: 1, predecessor : NULL
Node: 164, visit time: 1, predecessor : NULL
Node: 165, visit time: 1, predecessor : NULL
Node: 166, visit time: 1, predecessor : NULL
Node: 167, visit time: 1, predecessor : NULL
Node: 168, visit time: 1, predecessor : NULL
Node: 169, visit time: 1, predecessor : NULL
Node: 170, visit time: 1, predecessor : NULL
Node: 171, visit time: 1, predecessor : NULL
Node: 172, visit time: 1, predecessor : NULL
Node: 173, visit time: 1, predecessor : NULL
Node: 174, visit time: 1, predecessor : NULL
Node: 175, visit time: 1, predecessor : NULL
Node: 176, visit time: 1, predecessor : NULL
Node: 177, visit time: 1, predecessor : NULL
Node: 178, visit time: 1, predecessor : NULL
Node: 179, visit time: 1, predecessor : NULL
Node: 180, visit time: 1, predecessor : NULL
Node: 181, visit time: 1, predecessor : NULL
Node: 182, visit time: 1, predecessor : NULL
Node: 183, visit time: 1, predecessor : NULL
Node: 184, visit time: 1, predecessor : NULL
Node: 185, visit time: 1, predecessor : NULL
Node: 186, visit time: 1, predecessor : NULL
Node: 187, visit time: 1, predecessor : NULL
Node: 188, visit time: 1, predecessor : NULL
Node: 189, visit time: 1, predecessor : NULL
Node: 190, visit time: 1, predecessor : NULL
Node: 191, visit time: 1, predecessor : NULL
Node: 192, visit time: 1, predecessor : NULL
Node: 193, visit time: 1, predecessor : NULL
Node: 194, visit time: 1, predecessor : NULL
Node: 195, visit time: 1, predecessor : NULL
Node: 196, visit time: 1, predecessor : NULL
Node: 197, visit time: 1, predecessor : NULL
Node: 198, visit time: 1, predecessor : NULL
Node: 199, visit time: 1, predecessor : NULL
Node: 200, visit time: 1, predecessor : NULL
Node: 201, visit time: 1, predecessor : NULL
Node: 202, visit time: 1, predecessor : NULL
Node: 203, visit time: 1, predecessor : NULL
Node: 204, visit time: 1, predecessor : NULL
Node: 205, visit time: 1, predecessor : NULL
Node: 206, visit time: 1, predecessor : NULL
Node: 207, visit time: 1, predecessor : NULL
Node: 208, visit time: 1, predecessor : NULL
Node: 209, visit time: 1, predecessor : NULL
Node: 210, visit time: 1, predecessor : NULL
Node: 211, visit time: 1, predecessor : NULL
Node: 212, visit time: 1, predecessor : NULL
Node: 213, visit time: 1, predecessor : NULL
Node: 214, visit time: 1, predecessor : NULL
Node: 215, visit time: 1, predecessor : NULL
Node: 216, visit time: 1, predecessor : NULL
Node: 217, visit time: 1, predecessor : NULL
Node: 218, visit time: 1, predecessor : NULL
Node: 219, visit time: 1, predecessor : NULL
Node: 220, visit time: 1, predecessor : NULL
Node: 221, visit time: 1, predecessor : NULL
Node: 222, visit time: 1, predecessor : NULL
Node: 223, visit time: 1, predecessor : NULL
Node: 224, visit time: 1, predecessor : NULL
Node: 225, visit time: 1, predecessor : NULL
Node: 226, visit time: 1, predecessor : NULL
Node: 227, visit time: 1, predecessor : NULL
Node: 228, visit time: 1, predecessor : NULL
Node: 229, visit time: 1, predecessor : NULL
Node: 230, visit time: 1, predecessor : NULL
Node: 231, visit time: 1, predecessor : NULL
Node: 232, visit time: 1, predecessor : NULL
Node: 233, visit time: 1, predecessor : NULL
Node: 234, visit time: 1, predecessor : NULL
